interaction_id,customer_id,customer_name,touchpoint,mode,interaction_type,product_id,product_name,category,personalized,recommendation_accepted,engagement_seconds,interaction_date,region
INT-000541,CUST-0460,Tyrone Navarro,Mobile App,Online,Search,,,,False,False,110,2024-10-24,North America
INT-000542,CUST-0361,Derek Lewis,Web,Online,Search,PROD-STA-007,Paper Clips Box,Stationery,False,False,104,2024-05-05,North America
INT-000543,CUST-0512,Mitchell Gomez,Store,Offline,Search,PROD-FUR-006,Office Desk,Furniture,False,False,115,2024-03-02,Europe
INT-000544,CUST-0383,Christine Callahan,Web,Online,Wishlist Add,PROD-ELE-003,Bluetooth Headphones,Electronics,True,False,125,2024-10-24,Europe
INT-000545,CUST-0241,Charles Watson,Web,Online,Add To Cart,,,,True,True,120,2024-06-28,North America
INT-000546,CUST-0360,Christine Martinez,Mobile App,Online,Support Chat,,,,False,False,124,2024-10-15,Asia Pacific
INT-000547,CUST-0260,Dr. Raven Harvey,Web,Online,Add To Cart,PROD-FUR-004,Filing Cabinet,Furniture,True,False,124,2024-11-07,North America
INT-000548,CUST-0570,Patrick Leblanc,Email,Online,Browse,PROD-FUR-002,Ergonomic Chair,Furniture,True,False,117,2024-02-25,Asia Pacific
INT-000549,CUST-0599,Nicholas Campos,Web,Online,Recommendation Click,,,,True,False,122,2024-07-16,North America
INT-000550,CUST-0490,Rebecca Flores,Web,Online,Add To Cart,PROD-STA-004,Document Folder,Stationery,True,True,113,2024-01-21,Europe
INT-000551,CUST-0024,Craig Lam,Social Media,Online,Add To Cart,PROD-STA-000,Notebook A5,Stationery,False,False,113,2024-03-24,Europe
INT-000552,CUST-0271,Mrs. Angela Moore,Mobile App,Online,Store Visit,PROD-STA-003,Sticky Notes,Stationery,True,False,108,2024-02-24,North America
INT-000553,CUST-0048,Russell Williams,Mobile App,Online,Browse,,,,True,False,113,2024-05-31,Asia Pacific
INT-000554,CUST-0070,Joshua Obrien,Call Center,Offline,Search,PROD-FUR-007,Side Table,Furniture,False,False,125,2024-12-22,North America
INT-000555,CUST-0517,Garrett Robertson,Mobile App,Online,Browse,PROD-FUR-001,Monitor Arm,Furniture,False,False,108,2024-10-29,North America
INT-000556,CUST-0253,Douglas Gray,Mobile App,Online,Recommendation Click,,,,False,False,105,2024-08-12,North America
INT-000557,CUST-0244,Eric Miller,Store,Offline,Recommendation Click,PROD-STA-004,Document Folder,Stationery,True,False,122,2024-08-01,North America
INT-000558,CUST-0025,Tara Kidd,Mobile App,Online,Browse,,,,True,True,110,2024-05-11,Asia Pacific
INT-000559,CUST-0524,Joshua Brewer,Mobile App,Online,Browse,PROD-STA-000,Notebook A5,Stationery,False,False,122,2024-11-04,North America
INT-000560,CUST-0046,Glenn Adkins,Social Media,Online,Search,PROD-FUR-005,Desk Lamp,Furniture,False,False,112,2024-02-23,Asia Pacific
INT-000561,CUST-0052,Brian Fuentes,Mobile App,Online,Browse,PROD-STA-002,Highlighter Set,Stationery,False,False,119,2024-04-28,North America
INT-000562,CUST-0520,Shawn Gardner,Social Media,Online,Store Visit,PROD-STA-001,Ballpoint Pen Pack,Stationery,False,False,116,2024-04-01,North America
INT-000563,CUST-0074,Kathryn Thompson,Web,Online,Recommendation Click,,,,True,True,95,2024-08-08,Europe
INT-000564,CUST-0002,John Johnson,Mobile App,Online,Add To Cart,PROD-STA-006,Stapler,Stationery,False,False,136,2024-01-02,Europe
INT-000565,CUST-0099,Jill Richardson,Store,Offline,Wishlist Add,,,,False,False,118,2024-09-04,North America
INT-000566,CUST-0416,Kevin Craig,Call Center,Offline,Add To Cart,PROD-ELE-004,Webcam 1080p,Electronics,False,False,108,2024-12-25,North America
INT-000567,CUST-0031,Kyle Howell,Social Media,Online,Browse,PROD-FUR-004,Filing Cabinet,Furniture,False,False,138,2024-03-30,North America
INT-000568,CUST-0201,Tina Davis,Mobile App,Online,Search,PROD-ELE-007,HDMI Cable,Electronics,True,False,103,2024-06-05,North America
INT-000569,CUST-0288,Chelsea Jenkins,Mobile App,Online,Browse,PROD-ELE-002,USB-C Hub,Electronics,False,False,138,2024-03-27,North America
INT-000570,CUST-0436,Glenn Lam,Mobile App,Online,Recommendation Click,PROD-ELE-004,Webcam 1080p,Electronics,True,False,106,2024-02-10,Europe
INT-000571,CUST-0183,Ryan Lopez,Web,Online,Search,PROD-STA-002,Highlighter Set,Stationery,True,False,119,2024-03-14,Europe
INT-000572,CUST-0352,Gina Griffin,Web,Online,Recommendation Click,PROD-FUR-005,Desk Lamp,Furniture,True,False,109,2024-04-30,Europe
INT-000573,CUST-0351,Stacey Newman,Web,Online,Support Chat,PROD-FUR-001,Monitor Arm,Furniture,False,False,138,2024-04-30,North America
INT-000574,CUST-0511,Leslie Wells,Social Media,Online,Support Chat,PROD-FUR-004,Filing Cabinet,Furniture,False,False,122,2024-09-28,Asia Pacific
INT-000575,CUST-0106,Daniel Jackson,Store,Offline,Store Visit,,,,True,True,104,2024-08-10,North America
INT-000576,CUST-0332,Alejandro Barker,Web,Online,Add To Cart,PROD-STA-005,Whiteboard Marker,Stationery,False,False,129,2024-11-11,North America
INT-000577,CUST-0500,Justin Baldwin,Social Media,Online,Browse,PROD-ELE-002,USB-C Hub,Electronics,False,False,127,2024-02-29,North America
INT-000578,CUST-0007,Alan Martin,Store,Offline,Store Visit,PROD-FUR-006,Office Desk,Furniture,True,True,115,2024-04-13,North America
INT-000579,CUST-0047,Brianna Hoffman,Web,Online,Search,PROD-FUR-006,Office Desk,Furniture,True,True,124,2024-05-08,North America
INT-000580,CUST-0024,Craig Lam,Web,Online,Browse,,,,True,False,129,2024-04-13,Europe
INT-000581,CUST-0148,Brian Landry,Web,Online,Search,PROD-FUR-001,Monitor Arm,Furniture,False,False,112,2024-08-31,Europe
INT-000582,CUST-0509,Alison Snyder,Web,Online,Support Chat,PROD-ELE-007,HDMI Cable,Electronics,False,False,128,2024-10-06,Europe
INT-000583,CUST-0122,Michael Powers,Email,Online,Recommendation Click,PROD-FUR-002,Ergonomic Chair,Furniture,False,False,123,2024-11-26,Europe
INT-000584,CUST-0018,Janet Rogers,Mobile App,Online,Recommendation Click,PROD-ELE-001,Mechanical Keyboard,Electronics,False,False,118,2024-01-17,Europe
INT-000585,CUST-0496,Jeremiah Brown,Web,Online,Browse,PROD-STA-006,Stapler,Stationery,False,False,126,2024-08-06,Asia Pacific
INT-000586,CUST-0121,Derrick Saunders,Store,Offline,Browse,PROD-ELE-005,Portable SSD,Electronics,False,False,109,2024-01-21,Asia Pacific
INT-000587,CUST-0467,Jessica Rojas,Web,Online,Browse,,,,False,False,119,2024-08-13,North America
INT-000588,CUST-0246,Shane Lopez,Web,Online,Search,PROD-STA-004,Document Folder,Stationery,True,False,107,2024-09-06,Europe
INT-000589,CUST-0453,Kristi Anderson,Store,Offline,Search,,,,True,False,114,2024-03-23,North America
INT-000590,CUST-0076,Tyler Lewis,Store,Offline,Search,PROD-FUR-007,Side Table,Furniture,True,False,120,2024-01-11,North America
INT-000591,CUST-0003,Dominique Smith,Social Media,Online,Wishlist Add,,,,False,False,123,2024-01-05,Asia Pacific
INT-000592,CUST-0265,Nancy Osborn,Store,Offline,Search,PROD-STA-004,Document Folder,Stationery,True,False,107,2024-10-30,Europe
INT-000593,CUST-0169,Jeremy Harris,Email,Online,Recommendation Click,PROD-FUR-007,Side Table,Furniture,False,False,115,2024-08-30,Europe
INT-000594,CUST-0267,Lynn Lopez,Web,Online,Add To Cart,PROD-FUR-006,Office Desk,Furniture,False,False,108,2024-12-06,Europe
INT-000595,CUST-0378,Julia Oneill,Web,Online,Browse,PROD-ELE-002,USB-C Hub,Electronics,False,False,130,2024-12-07,Europe
INT-000596,CUST-0311,Victoria Marshall DVM,Web,Online,Wishlist Add,,,,True,False,106,2024-02-05,North America
INT-000597,CUST-0270,Rachel Weiss,Mobile App,Online,Store Visit,PROD-STA-001,Ballpoint Pen Pack,Stationery,True,False,138,2024-05-08,North America
INT-000598,CUST-0300,Jessica Levine,Web,Online,Search,PROD-ELE-007,HDMI Cable,Electronics,True,False,134,2024-12-01,Europe
INT-000599,CUST-0578,Keith Carey,Web,Online,Browse,PROD-STA-007,Paper Clips Box,Stationery,True,False,135,2024-07-04,North America
INT-000600,CUST-0095,Kelly Beltran,Web,Online,Search,PROD-STA-006,Stapler,Stationery,False,False,119,2024-05-10,Europe
INT-000601,CUST-0066,Elizabeth White,Social Media,Online,Browse,PROD-STA-006,Stapler,Stationery,True,True,118,2024-07-27,North America
INT-000602,CUST-0082,Joseph Newton,Web,Online,Support Chat,,,,False,False,115,2024-03-13,North America
INT-000603,CUST-0225,Aaron Chen,Mobile App,Online,Search,PROD-FUR-002,Ergonomic Chair,Furniture,False,False,116,2024-02-03,Asia Pacific
INT-000604,CUST-0577,Vanessa Gonzalez,Mobile App,Online,Add To Cart,PROD-STA-005,Whiteboard Marker,Stationery,False,False,124,2024-04-16,Europe
INT-000605,CUST-0198,Stephanie Smith,Mobile App,Online,Browse,PROD-STA-000,Notebook A5,Stationery,False,False,135,2024-07-23,North America
INT-000606,CUST-0199,Lisa Alvarado,Store,Offline,Browse,PROD-STA-007,Paper Clips Box,Stationery,True,False,111,2024-02-07,Asia Pacific
INT-000607,CUST-0037,Andrew Adams,Web,Online,Browse,PROD-ELE-003,Bluetooth Headphones,Electronics,False,False,134,2024-01-02,Asia Pacific
INT-000608,CUST-0076,Tyler Lewis,Social Media,Online,Wishlist Add,,,,False,False,116,2024-12-14,Asia Pacific
INT-000609,CUST-0430,Scott Matthews,Store,Offline,Store Visit,PROD-STA-005,Whiteboard Marker,Stationery,False,False,118,2024-06-28,Europe
INT-000610,CUST-0145,Jennifer Bailey,Mobile App,Online,Browse,,,,True,False,119,2024-08-19,Europe
INT-000611,CUST-0319,Erin Suarez,Web,Online,Support Chat,PROD-STA-005,Whiteboard Marker,Stationery,True,False,118,2024-08-09,Asia Pacific
INT-000612,CUST-0028,Travis Davis,Store,Offline,Browse,PROD-FUR-004,Filing Cabinet,Furniture,True,False,123,2024-03-24,Europe
INT-000613,CUST-0098,Michael Alexander,Mobile App,Online,Search,PROD-STA-006,Stapler,Stationery,False,False,128,2024-01-30,Europe
INT-000614,CUST-0035,Emily Moody,Web,Online,Search,PROD-ELE-003,Bluetooth Headphones,Electronics,True,False,112,2024-01-27,North America
INT-000615,CUST-0074,Kathryn Thompson,Web,Online,Add To Cart,,,,True,False,111,2024-10-18,North America
INT-000616,CUST-0590,Matthew Johnson,Web,Online,Search,PROD-FUR-005,Desk Lamp,Furniture,False,False,115,2024-12-17,North America
INT-000617,CUST-0121,Derrick Saunders,Email,Online,Recommendation Click,,,,True,True,121,2024-01-17,North America
INT-000618,CUST-0125,Dawn Rowland,Store,Offline,Browse,PROD-FUR-000,Standing Desk Mat,Furniture,False,False,134,2024-10-31,Asia Pacific
INT-000619,CUST-0348,David Green,Mobile App,Online,Add To Cart,PROD-ELE-003,Bluetooth Headphones,Electronics,False,False,116,2024-07-10,Asia Pacific
INT-000620,CUST-0223,Lisa Bowen,Web,Online,Add To Cart,PROD-FUR-002,Ergonomic Chair,Furniture,True,False,136,2024-01-26,North America
INT-000621,CUST-0099,Jill Richardson,Web,Online,Add To Cart,PROD-FUR-001,Monitor Arm,Furniture,True,False,133,2024-05-06,Asia Pacific
INT-000622,CUST-0494,Angela Chung,Web,Online,Browse,PROD-ELE-002,USB-C Hub,Electronics,False,False,132,2024-05-31,Europe
INT-000623,CUST-0192,Shannon Sanchez,Store,Offline,Recommendation Click,PROD-FUR-007,Side Table,Furniture,True,True,103,2024-09-26,Europe
INT-000624,CUST-0458,Heather Davis,Web,Online,Browse,,,,False,False,125,2024-05-31,Asia Pacific
INT-000625,CUST-0543,Edward Wong,Web,Online,Browse,PROD-FUR-002,Ergonomic Chair,Furniture,True,False,124,2024-11-23,Asia Pacific
INT-000626,CUST-0017,Jay Goodman,Email,Online,Search,,,,False,False,126,2024-08-22,Europe
INT-000627,CUST-0029,Charles Moran DDS,Web,Online,Store Visit,PROD-FUR-007,Side Table,Furniture,True,False,129,2024-04-28,Asia Pacific
INT-000628,CUST-0365,Tracy Roy,Web,Online,Search,PROD-FUR-000,Standing Desk Mat,Furniture,False,False,119,2024-01-30,North America
INT-000629,CUST-0499,Larry George,Mobile App,Online,Add To Cart,,,,False,False,111,2024-09-30,North America
INT-000630,CUST-0400,Darrell Johnson,Web,Online,Browse,,,,True,False,134,2024-07-19,Europe
INT-000631,CUST-0471,Michael Cohen,Store,Offline,Support Chat,PROD-FUR-003,Bookshelf,Furniture,False,False,126,2024-03-03,Asia Pacific
INT-000632,CUST-0068,Michael Medina,Call Center,Offline,Wishlist Add,,,,False,False,117,2024-10-19,Europe
INT-000633,CUST-0363,Tammy Jones,Call Center,Offline,Add To Cart,,,,False,False,132,2024-05-03,Europe
INT-000634,CUST-0452,Jacqueline Fisher,Mobile App,Online,Browse,,,,False,False,130,2024-06-02,Europe
INT-000635,CUST-0121,Derrick Saunders,Mobile App,Online,Search,,,,False,False,108,2024-06-30,Europe
INT-000636,CUST-0095,Kelly Beltran,Store,Offline,Browse,,,,False,False,113,2024-05-02,Europe
INT-000637,CUST-0392,April Bridges,Mobile App,Online,Browse,PROD-FUR-005,Desk Lamp,Furniture,True,False,114,2024-06-22,Asia Pacific
INT-000638,CUST-0422,Crystal Johnson,Mobile App,Online,Search,PROD-FUR-006,Office Desk,Furniture,True,False,123,2024-06-12,Asia Pacific
INT-000639,CUST-0332,Alejandro Barker,Web,Online,Add To Cart,PROD-FUR-000,Standing Desk Mat,Furniture,False,False,114,2024-09-25,North America
INT-000640,CUST-0364,Matthew Taylor,Store,Offline,Browse,PROD-STA-007,Paper Clips Box,Stationery,True,True,108,2024-07-18,North America
INT-000641,CUST-0364,Matthew Taylor,Web,Online,Recommendation Click,PROD-ELE-005,Portable SSD,Electronics,False,False,148,2024-03-22,North America
INT-000642,CUST-0444,Christina Simpson,Web,Online,Browse,PROD-FUR-004,Filing Cabinet,Furniture,False,False,123,2024-07-15,North America
INT-000643,CUST-0508,Brandon Pierce,Web,Online,Recommendation Click,,,,False,False,130,2024-04-08,North America
INT-000644,CUST-0528,Chad Frost,Store,Offline,Wishlist Add,PROD-FUR-001,Monitor Arm,Furniture,True,False,112,2024-12-17,North America
INT-000645,CUST-0477,Anthony Rodriguez,Mobile App,Online,Recommendation Click,PROD-FUR-004,Filing Cabinet,Furniture,False,False,113,2024-06-23,Europe
INT-000646,CUST-0101,Walter Stone,Email,Online,Recommendation Click,PROD-ELE-002,USB-C Hub,Electronics,True,False,111,2024-12-29,Asia Pacific
INT-000647,CUST-0381,Ryan Charles,Mobile App,Online,Browse,,,,False,False,123,2024-08-27,North America
INT-000648,CUST-0100,Jesus Nguyen,Email,Online,Browse,PROD-ELE-001,Mechanical Keyboard,Electronics,True,False,115,2024-07-04,North America
INT-000649,CUST-0274,Amanda Burgess,Web,Online,Search,PROD-ELE-002,USB-C Hub,Electronics,False,False,114,2024-01-28,Europe
INT-000650,CUST-0581,Michael Reeves,Web,Online,Search,PROD-FUR-000,Standing Desk Mat,Furniture,False,False,113,2024-08-09,North America
INT-000651,CUST-0479,Jacob Gardner,Mobile App,Online,Browse,,,,False,False,110,2024-05-12,Europe
INT-000652,CUST-0206,Ashley Duncan,Web,Online,Wishlist Add,PROD-ELE-006,Laptop Stand,Electronics,True,False,116,2024-10-29,Europe
INT-000653,CUST-0387,Virginia Johnson,Mobile App,Online,Store Visit,PROD-ELE-002,USB-C Hub,Electronics,False,False,137,2024-02-03,North America
INT-000654,CUST-0225,Aaron Chen,Mobile App,Online,Recommendation Click,,,,False,False,105,2024-07-22,Asia Pacific
INT-000655,CUST-0093,Ashley Bradley,Web,Online,Search,,,,False,False,133,2024-12-21,Europe
INT-000656,CUST-0421,Christian Thomas,Web,Online,Wishlist Add,PROD-FUR-007,Side Table,Furniture,False,False,106,2024-02-27,North America
INT-000657,CUST-0435,Kristie Brown,Email,Online,Support Chat,,,,True,False,119,2024-02-12,North America
INT-000658,CUST-0276,Hailey Hodges,Web,Online,Store Visit,PROD-FUR-005,Desk Lamp,Furniture,True,False,118,2024-10-01,Asia Pacific
INT-000659,CUST-0467,Jessica Rojas,Social Media,Online,Add To Cart,PROD-STA-005,Whiteboard Marker,Stationery,True,False,118,2024-02-05,North America
INT-000660,CUST-0218,Denise Woods,Email,Online,Browse,PROD-ELE-000,Wireless Mouse,Electronics,False,False,124,2024-04-13,North America
INT-000661,CUST-0092,Mr. John Jones,Mobile App,Online,Search,PROD-FUR-003,Bookshelf,Furniture,True,True,139,2024-03-23,Asia Pacific
INT-000662,CUST-0073,Aaron Garcia,Web,Online,Browse,PROD-STA-004,Document Folder,Stationery,True,True,133,2024-03-04,Asia Pacific
INT-000663,CUST-0019,Mr. Bryan Bailey,Mobile App,Online,Browse,,,,False,False,111,2024-01-13,North America
INT-000664,CUST-0437,Charles Hendricks,Web,Online,Browse,PROD-ELE-004,Webcam 1080p,Electronics,True,True,121,2024-12-21,Europe
INT-000665,CUST-0328,Gregory Williams,Web,Online,Add To Cart,,,,True,False,116,2024-11-05,North America
INT-000666,CUST-0120,Brian Peck,Web,Online,Search,PROD-FUR-006,Office Desk,Furniture,False,False,116,2024-07-14,North America
INT-000667,CUST-0517,Garrett Robertson,Web,Online,Browse,PROD-ELE-004,Webcam 1080p,Electronics,True,False,111,2024-05-05,North America
INT-000668,CUST-0199,Lisa Alvarado,Mobile App,Online,Browse,,,,True,False,109,2024-08-22,North America
INT-000669,CUST-0469,Mark Smith,Mobile App,Online,Browse,PROD-ELE-002,USB-C Hub,Electronics,False,False,125,2024-09-24,North America
INT-000670,CUST-0195,Joy Williams,Email,Online,Recommendation Click,,,,True,True,117,2024-07-19,Asia Pacific
INT-000671,CUST-0270,Rachel Weiss,Web,Online,Browse,PROD-ELE-000,Wireless Mouse,Electronics,True,False,136,2024-07-24,Asia Pacific
INT-000672,CUST-0005,Matthew Rodriguez,Store,Offline,Search,,,,True,False,118,2024-09-12,North America
INT-000673,CUST-0583,Rebecca Mills,Social Media,Online,Recommendation Click,PROD-STA-000,Notebook A5,Stationery,True,False,131,2024-09-07,North America
INT-000674,CUST-0119,Joseph Fox,Store,Offline,Recommendation Click,PROD-FUR-002,Ergonomic Chair,Furniture,False,False,106,2024-08-11,North America
INT-000675,CUST-0283,Jason Winters,Mobile App,Online,Browse,PROD-FUR-002,Ergonomic Chair,Furniture,False,False,120,2024-06-29,North America
INT-000676,CUST-0111,Lindsay Garner,Web,Online,Wishlist Add,PROD-FUR-006,Office Desk,Furniture,False,False,116,2024-01-12,North America
INT-000677,CUST-0208,Tiffany Pearson,Web,Online,Browse,PROD-FUR-000,Standing Desk Mat,Furniture,True,False,110,2024-01-18,Europe
INT-000678,CUST-0087,Deanna Sanchez,Mobile App,Online,Browse,PROD-ELE-005,Portable SSD,Electronics,True,False,120,2024-06-14,North America
INT-000679,CUST-0373,Jeffrey Smith,Web,Online,Search,PROD-STA-002,Highlighter Set,Stationery,False,False,122,2024-01-09,North America
INT-000680,CUST-0106,Daniel Jackson,Web,Online,Recommendation Click,PROD-ELE-006,Laptop Stand,Electronics,False,False,124,2024-12-09,North America
INT-000681,CUST-0188,Steven Sims Jr.,Email,Online,Browse,,,,False,False,125,2024-05-10,North America
INT-000682,CUST-0269,Rachael Lowe,Mobile App,Online,Browse,PROD-ELE-003,Bluetooth Headphones,Electronics,False,False,118,2024-03-08,Asia Pacific
INT-000683,CUST-0044,Susan Bates,Email,Online,Browse,PROD-ELE-001,Mechanical Keyboard,Electronics,False,False,82,2024-03-21,North America
INT-000684,CUST-0114,Cynthia White,Store,Offline,Browse,PROD-FUR-001,Monitor Arm,Furniture,False,False,112,2024-06-17,Europe
INT-000685,CUST-0051,Paula Rodriguez,Email,Online,Add To Cart,,,,True,False,106,2024-04-25,Europe
INT-000686,CUST-0482,Kimberly Wilson,Store,Offline,Browse,PROD-FUR-006,Office Desk,Furniture,False,False,108,2024-07-01,Asia Pacific
INT-000687,CUST-0040,Kenneth Mcclain,Web,Online,Wishlist Add,,,,True,False,145,2024-05-07,Asia Pacific
INT-000688,CUST-0210,Jeffery Rios,Store,Offline,Add To Cart,PROD-FUR-000,Standing Desk Mat,Furniture,False,False,111,2024-09-26,Europe
INT-000689,CUST-0519,Nancy Davis,Web,Online,Add To Cart,,,,False,False,117,2024-06-13,North America
INT-000690,CUST-0262,William Smith,Social Media,Online,Add To Cart,,,,True,False,115,2024-08-01,North America
INT-000691,CUST-0428,Eric Garcia,Email,Online,Support Chat,PROD-STA-001,Ballpoint Pen Pack,Stationery,False,False,120,2024-04-13,Asia Pacific
INT-000692,CUST-0235,Kimberly Fleming,Call Center,Offline,Support Chat,PROD-STA-002,Highlighter Set,Stationery,False,False,114,2024-02-07,Europe
INT-000693,CUST-0304,Rebecca Gilbert,Mobile App,Online,Search,PROD-STA-002,Highlighter Set,Stationery,False,False,115,2024-02-17,Europe
INT-000694,CUST-0274,Amanda Burgess,Web,Online,Add To Cart,PROD-FUR-005,Desk Lamp,Furniture,False,False,127,2024-08-23,Europe
INT-000695,CUST-0122,Michael Powers,Web,Online,Support Chat,PROD-STA-004,Document Folder,Stationery,False,False,125,2024-09-15,North America
INT-000696,CUST-0085,Megan Singh,Web,Online,Support Chat,,,,True,True,124,2024-02-16,North America
INT-000697,CUST-0276,Hailey Hodges,Web,Online,Add To Cart,PROD-FUR-003,Bookshelf,Furniture,False,False,131,2024-04-25,Europe
INT-000698,CUST-0124,Taylor Fletcher,Web,Online,Add To Cart,,,,False,False,110,2024-02-17,North America
INT-000699,CUST-0127,Daniel Nunez,Web,Online,Recommendation Click,,,,False,False,107,2024-04-26,North America
INT-000700,CUST-0121,Derrick Saunders,Email,Online,Wishlist Add,PROD-FUR-000,Standing Desk Mat,Furniture,False,False,101,2024-09-02,North America
INT-000701,CUST-0556,Michael Hill,Web,Online,Search,PROD-ELE-003,Bluetooth Headphones,Electronics,True,True,138,2024-08-23,North America
INT-000702,CUST-0233,Megan Robinson,Mobile App,Online,Search,PROD-FUR-001,Monitor Arm,Furniture,False,False,132,2024-06-30,Asia Pacific
INT-000703,CUST-0305,Erika Patterson,Web,Online,Browse,PROD-STA-003,Sticky Notes,Stationery,False,False,113,2024-12-03,Europe
INT-000704,CUST-0294,Isaac Martinez,Web,Online,Wishlist Add,PROD-ELE-002,USB-C Hub,Electronics,False,False,127,2024-09-21,Europe
INT-000705,CUST-0025,Tara Kidd,Store,Offline,Recommendation Click,,,,True,False,117,2024-07-22,North America
INT-000706,CUST-0004,Evelyn Wall,Social Media,Online,Add To Cart,,,,True,True,115,2024-01-17,North America
INT-000707,CUST-0002,John Johnson,Mobile App,Online,Support Chat,,,,True,False,112,2024-12-22,Europe
INT-000708,CUST-0053,Mark Rivera,Email,Online,Browse,PROD-ELE-000,Wireless Mouse,Electronics,False,False,116,2024-09-03,Asia Pacific
INT-000709,CUST-0548,Maria Allen,Web,Online,Add To Cart,,,,True,False,122,2024-01-04,Asia Pacific
INT-000710,CUST-0089,James Rhodes,Web,Online,Recommendation Click,PROD-STA-007,Paper Clips Box,Stationery,False,False,110,2024-09-24,North America
INT-000711,CUST-0542,Jamie Hart,Social Media,Online,Search,PROD-ELE-005,Portable SSD,Electronics,False,False,113,2024-01-05,North America
INT-000712,CUST-0307,Donna Branch,Web,Online,Browse,,,,True,False,108,2024-12-12,Asia Pacific
INT-000713,CUST-0352,Gina Griffin,Mobile App,Online,Recommendation Click,PROD-ELE-003,Bluetooth Headphones,Electronics,False,False,112,2024-12-03,Asia Pacific
INT-000714,CUST-0567,Shawn Clark,Web,Online,Add To Cart,,,,True,False,101,2024-04-12,Europe
INT-000715,CUST-0350,John Phillips,Mobile App,Online,Support Chat,PROD-FUR-005,Desk Lamp,Furniture,False,False,115,2024-07-12,North America
INT-000716,CUST-0566,Vanessa Rodgers,Mobile App,Online,Wishlist Add,PROD-STA-006,Stapler,Stationery,False,False,127,2024-08-13,Europe
INT-000717,CUST-0136,Robert Perez,Store,Offline,Add To Cart,PROD-STA-006,Stapler,Stationery,False,False,131,2024-08-11,North America
INT-000718,CUST-0449,Taylor Moss,Web,Online,Search,PROD-ELE-000,Wireless Mouse,Electronics,False,False,120,2024-12-19,North America
INT-000719,CUST-0592,Joy Kelly,Store,Offline,Search,PROD-FUR-007,Side Table,Furniture,True,True,103,2024-07-20,Asia Pacific
INT-000720,CUST-0010,Grant Olson,Web,Online,Browse,,,,True,False,110,2024-04-21,North America
INT-000721,CUST-0006,Robert Schmitt,Store,Offline,Browse,PROD-ELE-004,Webcam 1080p,Electronics,True,False,133,2024-12-26,Europe
INT-000722,CUST-0149,Jamie Sutton,Web,Online,Recommendation Click,PROD-ELE-000,Wireless Mouse,Electronics,True,False,125,2024-05-15,North America
INT-000723,CUST-0120,Brian Peck,Store,Offline,Wishlist Add,,,,False,False,130,2024-06-28,North America
INT-000724,CUST-0073,Aaron Garcia,Store,Offline,Recommendation Click,PROD-FUR-001,Monitor Arm,Furniture,True,False,124,2024-10-26,North America
INT-000725,CUST-0103,Tina Fields,Web,Online,Browse,PROD-ELE-007,HDMI Cable,Electronics,False,False,125,2024-04-16,Asia Pacific
INT-000726,CUST-0312,Traci Flores,Mobile App,Online,Add To Cart,,,,True,False,135,2024-10-29,Asia Pacific
INT-000727,CUST-0509,Alison Snyder,Web,Online,Recommendation Click,PROD-ELE-001,Mechanical Keyboard,Electronics,False,False,116,2024-03-11,Asia Pacific
INT-000728,CUST-0026,Debra Jones,Mobile App,Online,Search,PROD-ELE-003,Bluetooth Headphones,Electronics,False,False,125,2024-06-29,Europe
INT-000729,CUST-0356,Michael Baker,Email,Online,Browse,,,,False,False,122,2024-08-03,North America
INT-000730,CUST-0270,Rachel Weiss,Web,Online,Support Chat,PROD-ELE-000,Wireless Mouse,Electronics,True,True,127,2024-04-12,Asia Pacific
INT-000731,CUST-0035,Emily Moody,Web,Online,Wishlist Add,PROD-ELE-002,USB-C Hub,Electronics,False,False,108,2024-08-01,Asia Pacific
INT-000732,CUST-0363,Tammy Jones,Web,Online,Browse,PROD-ELE-001,Mechanical Keyboard,Electronics,False,False,132,2024-08-18,Asia Pacific
INT-000733,CUST-0504,Casey Turner,Email,Online,Wishlist Add,PROD-STA-001,Ballpoint Pen Pack,Stationery,True,True,118,2024-04-27,North America
INT-000734,CUST-0020,Jonathan Robinson,Web,Online,Recommendation Click,,,,False,False,133,2024-06-18,Europe
INT-000735,CUST-0058,Patricia Francis,Social Media,Online,Browse,,,,True,False,115,2024-10-06,Europe
INT-000736,CUST-0005,Matthew Rodriguez,Web,Online,Browse,PROD-FUR-002,Ergonomic Chair,Furniture,False,False,118,2024-06-15,Europe
INT-000737,CUST-0538,Arthur Collins,Call Center,Offline,Support Chat,PROD-ELE-005,Portable SSD,Electronics,False,False,138,2024-08-29,North America
INT-000738,CUST-0190,Walter Chavez,Store,Offline,Recommendation Click,,,,True,False,123,2024-11-29,North America
INT-000739,CUST-0586,Mark Hunter,Mobile App,Online,Search,PROD-ELE-004,Webcam 1080p,Electronics,False,False,116,2024-05-09,North America
INT-000740,CUST-0051,Paula Rodriguez,Store,Offline,Browse,PROD-STA-004,Document Folder,Stationery,False,False,129,2024-05-07,Europe
INT-000741,CUST-0224,Anthony Johnson,Web,Online,Recommendation Click,PROD-ELE-004,Webcam 1080p,Electronics,False,False,109,2024-07-22,Europe
INT-000742,CUST-0177,Bradley Delgado Jr.,Web,Online,Search,PROD-STA-003,Sticky Notes,Stationery,False,False,129,2024-02-02,Europe
INT-000743,CUST-0570,Patrick Leblanc,Mobile App,Online,Recommendation Click,PROD-ELE-001,Mechanical Keyboard,Electronics,True,False,109,2024-05-03,North America
